is_course,is_major,is_campus,name,id
1,0,0,3-D Foundation,1032
1,0,0,3-Dimensional Art and Contemporary Approaches to Sculpture,1907
1,0,0,A Natural History of Garbage,1816
1,0,0,Abnormal Psychology,650
1,0,0,Accelerated Elementary Portuguese,1593
1,0,0,Accelerated Intermediate Spanish,1970
1,0,0,Accelerated [Honors] Advanced Calculus,64
1,0,0,Accelerated [Honors] Calculus,56
1,0,0,Access to Space,1198
1,0,0,Accompanying,1493
1,0,0,Acting,882
1,0,0,Addictions and Mental Illness in Criminal Justice,1913
1,0,0,Adolescent Psychology,1946
1,0,0,Adult Development,2004
1,0,0,Adult Medicine I,1453
1,0,0,Adult Medicine II,1459
1,0,0,Advanced Computer Programming,1897
1,0,0,Advanced Conversational German Through Films,1236
1,0,0,Advanced Creative Nonfiction,2015
1,0,0,"Advanced Database Design, Management, and Maintenance",1340
1,0,0,Advanced Drawing,435
1,0,0,Advanced Expository Writing,1547
1,0,0,Advanced Fiction Writing,2013
1,0,0,Advanced French,1222
1,0,0,Advanced General Chemistry,803
1,0,0,Advanced Gis,1825
1,0,0,Advanced Industrial Design,1055
1,0,0,Advanced Industrial Design: Professional Practice,1053
1,0,0,Advanced Multivariable Calculus I,12
1,0,0,Advanced Poetry Writing,2017
1,0,0,Advanced Readings in Modern Chinese,952
1,0,0,Advanced Reporting and Newswriting,987
1,0,0,Advanced Seminar in Disability Studies,1328
1,0,0,Advanced Syntax and Composition,1379
1,0,0,Advanced Topics in Digital Animation,1043
1,0,0,Advanced Topics in Medical Anthropology,252
1,0,0,Advanced Writing and Conversation,1238
1,0,0,Advanded Alternative Studies,1029
1,0,0,Advertising,1776
1,0,0,Aerospace Instrumentation,18
1,0,0,Aerospace Studies 300,514
1,0,0,Africa Living with Hiv/Aids,274
1,0,0,African American Literature From Slavery to the Present,1855
1,0,0,African American Women's Literature,1863
1,0,0,African Art and Society,462
1,0,0,African-American History,1739
1,0,0,African-American History 1865-1945,1733
1,0,0,African-American History 1945-Present,1688
1,0,0,Alexander Technique,1095
1,0,0,Algebra,203
1,0,0,Algebra with Applications,33
1,0,0,Algebraic and Quantitative Reasoning,671
1,0,0,Alternative Approaches to Art and Design,422
1,0,0,Alternative Movement Studies,104
1,0,0,American Architecture,1715
1,0,0,American Art,423
1,0,0,American Constitutional Law,1990
1,0,0,"American Cultures and Perspectives: Class, Ethnicity, Gender, and Race",1665
1,0,0,American Environmental Thought,692
1,0,0,American Ethnic Literatures,632
1,0,0,American Foreign Policy,1216
1,0,0,"American History I, 1607-1877",1702
1,0,0,"American History II, 1877-Present",1711
1,0,0,American Indian History I: European Discovery to 1,215
1,0,0,American Indian History II: 1840 to Present,201
1,0,0,American Indians and the Law,186
1,0,0,American Indians in Cinema,177
1,0,0,American Labor Since the Civil War,1735
1,0,0,"American Literary Movements, Genres, and Historical Periods",1869
1,0,0,American Literature: Later Nineteenth Century,1128
1,0,0,American Literature: the Early Nation,1126
1,0,0,American Lives,541
1,0,0,American Military History II,1741
1,0,0,American Musical Theater,1322
1,0,0,American Poetry,1884
1,0,0,American Popular Song,36
1,0,0,American Religions,768
1,0,0,Analyses of Stone Artifacts,307
1,0,0,Analysis and Design,996
1,0,0,Analysis for Biologists I,127
1,0,0,Analysis for Biologists II,134
1,0,0,Analytical Thinking,1725
1,0,0,Anatomy and Physiology in Clinical Medicine,1458
1,0,0,Anatomy and Physiology of Speech,1629
1,0,0,Anatomy for Dance,1008
1,0,0,Ancient Literature of Western Civilization,1712
1,0,0,Anglo-American Folk Music,887
1,0,0,Animal Behavior,1960
1,0,0,Animation Capstone,1044
1,0,0,Anthropology Honors Thesis,260
1,0,0,Anthropology Through Visual Media,205
1,0,0,Anthropology and International Health,356
1,0,0,Anthropology and Sport,344
1,0,0,Anthropology of Popular Culture,254
1,0,0,Anthropology of the Body,253
1,0,0,Anthropology of the Post-Soviet States,1214
1,0,0,Antisemitism and the Holocaust,1749
1,0,0,Applications of Algebra to Business and Economics,1120
1,0,0,Applications of Calculus to Business and Economics,34
1,0,0,Applied Biomechanics of Human Movement,351
1,0,0,Applied Electromagnetics,684
1,0,0,Applied Linear Algebra and Numerical Analysis,42
1,0,0,Applied Statistics for Social and Human Services,1732
1,0,0,Appreciation of Architecture I,23
1,0,0,Appreciation of Architecture II,45
1,0,0,Approaches to Social Research,695
1,0,0,Aquatic Animal Physiology and Reproduction,144
1,0,0,Aquatic Microbiology,158
1,0,0,Archaeological Gis,290
1,0,0,Archaeological Laboratory Techniques,283
1,0,0,Archaeological Mapping,278
1,0,0,Archaeology in Film,287
1,0,0,Archaeology of Africa and Eurasia,289
1,0,0,Archaeology of the Artic,288
1,0,0,Architectural Design Drawing I,381
1,0,0,Architectural Design Drawing II,366
1,0,0,Architectural Design Drawing III,373
1,0,0,Architectural Design IV,407
1,0,0,Architectural Design and Representation I,360
1,0,0,Architectural Design and Representation II,361
1,0,0,Architectural Studies Abroad - History and Theory,403
1,0,0,Architectural Studies Abroad - Representation,410
1,0,0,Architectural Studies Abroad - Urban Fieldwork,408
1,0,0,Architecture of the Ancient World,200
1,0,0,Argument and Research in Writing,1659
1,0,0,Art History and Criticism,479
1,0,0,Art Since World War II,440
1,0,0,Art Techniques,630
1,0,0,Art and Culture in China,1864
1,0,0,Art and Culture in India,1770
1,0,0,Art and Public Spaces,594
1,0,0,Art of India: Mohenjo-Daro to the Mughals,429
1,0,0,Art of the Americas,1750
1,0,0,Arts Workshop,654
1,0,0,Arts and Sciences: An Immersion Introduction,487
1,0,0,Arts in Context,628
1,0,0,Asian American History,1723
1,0,0,Asian American Theater,1303
1,0,0,Asian Civilizations: Traditions,1208
1,0,0,Asian-American Communities and Social Policies,1309
1,0,0,Asian-American Identity,1306
1,0,0,Assessment and Evaluation of Urban Sustainability,1821
1,0,0,Astrobiology: Life in the Universe,1047
1,0,0,Astronomy,95
1,0,0,Astronomy for Scientists and Engineers,494
1,0,0,Atmospheric Flight Mechanics,19
1,0,0,Atmospheric Motions I,516
1,0,0,Atmospheric Motions II,515
1,0,0,Atmospheric Radiative Transfer,520
1,0,0,Atmospheric Structure and Analysis,518
1,0,0,Attic Prose,974
1,0,0,Automatic Control,1422
1,0,0,Ballet Technique,1013
1,0,0,Ballet Technique I,1015
1,0,0,Ballet Technique II,265
1,0,0,Ballet Technique III,1011
1,0,0,Ballet Technique IV,1019
1,0,0,Baltic Cultures,1217
1,0,0,Basic Audiometry,1632
1,0,0,Basic Clinical Skills for the Medex Practitioner,1455
1,0,0,Basic Educational Statistics,755
1,0,0,Basic German Review,1237
1,0,0,Basic Keyboard,1376
1,0,0,Basic Photography,402
1,0,0,Basic Science in Clinical Medicine,1451
1,0,0,Basic Swahili,1569
1,0,0,Basic Tagalog,1304
1,0,0,Beginning Drawing: the Figure,411
1,0,0,Beginning Painting,414
1,0,0,Beginning Playwriting,1088
1,0,0,Beginning Scientific Computing,5
1,0,0,Beginning Short Story Writing,420
1,0,0,Beginning Tap,1017
1,0,0,Beginning Technical Practices,1099
1,0,0,Beginning Verse Writing,210
1,0,0,Behavior Disorders,154
1,0,0,Behavioral Medicine,1452
1,0,0,Behavioral Medicine I,1450
1,0,0,Biochemical Molecular Engineering,793
1,0,0,Biochemistry,924
1,0,0,Biochemistry I,606
1,0,0,Biochemistry II,613
1,0,0,Biochemistry Laboratory,608
1,0,0,Biodemography Seminar,343
1,0,0,Bioengineering Systems and Control,799
1,0,0,Bioengineerng Capstone Principles,804
1,0,0,Bioethics,710
1,0,0,Biofutures,938
1,0,0,Biogeography,1966
1,0,0,Biological Frameworks for Engineers,928
1,0,0,Biology of Fishes,121
1,0,0,Biology of Shellfishes,133
1,0,0,Biomedical Signals and Sensors,791
1,0,0,Biomedical Signals and Sensors Laboratory,796
1,0,0,Biopsychology,131
1,0,0,Biopsychosocial Human Services,1975
1,0,0,Bioresource Engineering III,844
1,0,0,Bioresources Design I,851
1,0,0,Bioresources Laboratory,841
1,0,0,Bioscientific Vocabulary Building From Latin and Greek,102
1,0,0,Biotransport I,798
1,0,0,Biotransport II,792
