major_abbr,pathway,dept_abbrev,course_number,student_count,students_in_major,course_gpa_50pct,CourseLongName,major_full_nm,MajorID,CoursePopularityRank,Campus
A A   ,0,MATH  ,126,143,210,3.4,0,0,1,1,0
A A   ,0,A A   ,260,139,210,3.4,1,0,1,2,0
A A   ,0,MATH  ,307,135,210,3.5,2,0,1,3,0
A A   ,0,PHYS  ,121,133,210,3.5,3,0,1,4,0
A A   ,0,MATH  ,308,128,210,3.4,4,0,1,5,0
A A   ,0,AMATH ,301,127,210,3.7,5,0,1,6,0
A A   ,0,CHEM  ,142,122,210,3.4,7,0,1,7,0
A A   ,0,PHYS  ,122,122,210,3.4,6,0,1,7,0
A A   ,0,A A   ,210,117,210,3.4,9,0,1,8,0
A A   ,0,PHYS  ,123,117,210,3.4,8,0,1,8,0
A A   ,0,M E   ,230,108,210,3.2,10,0,1,9,0
A A   ,0,CEE   ,220,107,210,3.5,11,0,1,10,0
A CMPT,0,BIS   ,315,2,4,3.6,26,1,2,1,1
A CMPT,0,CSS   ,162,2,4,3,25,1,2,1,1
A CMPT,0,CSS   ,301,2,4,3.5,24,1,2,1,1
ACCTG ,0,ACCTG ,225,392,462,3.4,27,2,3,1,0
ACCTG ,0,ACCTG ,215,391,462,3.7,28,2,3,2,0
ACCTG ,0,MGMT  ,200,390,462,3.3,29,2,3,3,0
ACCTG ,0,ECON  ,201,362,462,3.55,30,2,3,4,0
ACCTG ,0,ECON  ,200,357,462,3.5,31,2,3,5,0
ACCTG ,0,QMETH ,201,240,462,3.5,32,2,3,6,0
ACCTG ,0,ENGL  ,131,211,462,3.7,14,2,3,7,0
ACCTG ,0,PSYCH ,101,173,462,3.8,22,2,3,8,0
ACCTG ,0,MATH  ,111,147,462,3.7,33,2,3,9,0
ACCTG ,0,MATH  ,112,143,462,3.6,34,2,3,10,0
ACMS  ,0,MATH  ,307,17,20,3.7,2,3,4,1,0
ACMS  ,0,MATH  ,308,17,20,3.5,4,3,4,1,0
ACMS  ,0,CSE   ,142,16,20,3.4,21,3,4,2,0
ACMS  ,0,MATH  ,126,15,20,3.7,0,3,4,3,0
ACMS  ,0,PHYS  ,122,15,20,3.6,6,3,4,3,0
ACMS  ,0,CHEM  ,142,14,20,3.3,7,3,4,4,0
ACMS  ,0,CSE   ,143,14,20,3.05,41,3,4,4,0
ACMS  ,0,PHYS  ,121,14,20,3.6,3,3,4,4,0
ACMS  ,0,MATH  ,324,11,20,3.7,12,3,4,5,0
ACMS  ,0,MATH  ,125,10,20,3.8,13,3,4,6,0
ACMS  ,0,PHYS  ,123,10,20,3.45,8,3,4,6,0
ACMS  ,0,AMATH ,301,9,20,3.8,5,3,4,7,0
ACMS  ,0,CHEM  ,152,9,20,2.8,7,3,4,7,0
ACMS  ,0,ENGL  ,131,9,20,3.5,14,3,4,7,0
ACMS  ,0,AMATH ,352,8,20,4,42,3,4,8,0
ACMS  ,0,ARCH  ,150,8,20,3.85,23,3,4,8,0
ACMS  ,0,MATH  ,124,7,20,3.9,16,3,4,9,0
ACMS  ,0,ECON  ,200,6,20,3.3,31,3,4,10,0
ACMS  ,10,CSE   ,143,66,76,3.5,41,4,5,1,0
ACMS  ,10,MATH  ,308,66,76,3.65,4,4,5,1,0
ACMS  ,10,MATH  ,126,60,76,3.45,0,4,5,2,0
ACMS  ,10,MATH  ,307,59,76,3.7,2,4,5,3,0
ACMS  ,10,PHYS  ,121,49,76,3.4,3,4,5,4,0
ACMS  ,10,CSE   ,142,48,76,3.65,21,4,5,5,0
ACMS  ,10,PHYS  ,122,38,76,3.4,6,4,5,6,0
ACMS  ,10,MATH  ,125,33,76,3.7,13,4,5,7,0
ACMS  ,10,AMATH ,301,30,76,3.9,5,4,5,8,0
ACMS  ,10,CHEM  ,142,29,76,3.5,7,4,5,9,0
ACMS  ,10,CSE   ,154,29,76,3.6,73,4,5,9,0
ACMS  ,10,ENGL  ,131,26,76,3.7,14,4,5,10,0
ACMS  ,20,MATH  ,126,9,9,3.6,0,5,6,1,0
ACMS  ,20,CSE   ,143,8,9,3.95,41,5,6,2,0
ACMS  ,20,MATH  ,307,8,9,3.9,2,5,6,2,0
ACMS  ,20,CHEM  ,152,7,9,3.5,7,5,6,3,0
ACMS  ,20,CSE   ,142,7,9,3.7,21,5,6,3,0
ACMS  ,20,BIOL  ,180,6,9,3.9,76,5,6,4,0
ACMS  ,20,CHEM  ,142,6,9,3.7,7,5,6,4,0
ACMS  ,20,MATH  ,308,6,9,3.95,4,5,6,4,0
ACMS  ,20,BIOL  ,200,5,9,3.9,76,5,6,5,0
ACMS  ,20,CHEM  ,162,5,9,3.3,7,5,6,5,0
ACMS  ,20,MATH  ,125,4,9,3.85,13,5,6,6,0
ACMS  ,20,CHEM  ,237,3,9,4,78,5,6,7,0
ACMS  ,20,ECON  ,200,3,9,3.3,31,5,6,7,0
ACMS  ,20,ENGL  ,111,3,9,3.8,20,5,6,7,0
ACMS  ,20,ENGL  ,131,3,9,4,14,5,6,7,0
ACMS  ,20,MATH  ,124,3,9,4,16,5,6,7,0
ACMS  ,20,PHYS  ,121,3,9,3.6,3,5,6,7,0
ACMS  ,20,PSYCH ,101,3,9,4,22,5,6,7,0
ACMS  ,20,BIOL  ,220,2,9,3.4,76,5,6,8,0
ACMS  ,20,GEN ST,162,2,9,3.95,68,5,6,8,0
ACMS  ,20,MATH  ,324,2,9,3.55,12,5,6,8,0
ACMS  ,30,MATH  ,308,26,30,3.65,4,6,7,1,0
ACMS  ,30,CSE   ,143,25,30,3.2,41,6,7,2,0
ACMS  ,30,CSE   ,142,23,30,3.4,21,6,7,3,0
ACMS  ,30,MATH  ,126,22,30,3.6,0,6,7,4,0
ACMS  ,30,MATH  ,307,22,30,3.7,2,6,7,4,0
ACMS  ,30,PHYS  ,121,20,30,3.45,3,6,7,5,0
ACMS  ,30,AMATH ,301,16,30,3.75,5,6,7,6,0
ACMS  ,30,ENGL  ,131,16,30,3.8,14,6,7,6,0
ACMS  ,30,MATH  ,125,16,30,3.95,13,6,7,6,0
ACMS  ,30,MATH  ,124,14,30,4,16,6,7,7,0
ACMS  ,30,PHYS  ,122,13,30,3.4,6,6,7,8,0
ACMS  ,30,AMATH ,352,12,30,3.8,42,6,7,9,0
ACMS  ,30,CHEM  ,142,11,30,3.5,7,6,7,10,0
ACMS  ,30,ECON  ,200,11,30,3.7,31,6,7,10,0
ACMS  ,30,MUSIC ,116,11,30,3.9,44,6,7,10,0
ACMS  ,50,CSE   ,142,8,8,3.4,21,7,9,1,0
ACMS  ,50,MATH  ,126,8,8,3.95,0,7,9,1,0
ACMS  ,50,CSE   ,143,7,8,3.6,41,7,9,2,0
ACMS  ,50,MATH  ,125,7,8,4,13,7,9,2,0
ACMS  ,50,MATH  ,307,7,8,4,2,7,9,2,0
ACMS  ,50,MATH  ,308,7,8,3.7,4,7,9,2,0
ACMS  ,50,STAT  ,311,7,8,3.7,51,7,9,2,0
ACMS  ,50,MATH  ,124,6,8,4,16,7,9,3,0
ACMS  ,50,CHEM  ,142,5,8,3.6,7,7,9,4,0
ACMS  ,50,ECON  ,200,5,8,3.5,31,7,9,4,0
ACMS  ,50,ARCH  ,150,4,8,3.95,23,7,9,5,0
ACMS  ,50,ENGL  ,108,4,8,3.9,50,7,9,5,0
ACMS  ,50,PSYCH ,101,4,8,4,22,7,9,5,0
ACMS  ,50,ARCH  ,151,3,8,4,45,7,9,6,0
ACMS  ,50,ENGL  ,131,3,8,3.9,14,7,9,6,0
ACMS  ,50,LING  ,200,3,8,3.5,75,7,9,6,0
ACMS  ,50,MUSIC ,116,3,8,4,44,7,9,6,0
ACMS  ,50,PHYS  ,121,3,8,3.2,3,7,9,6,0
ACMS  ,50,ACCTG ,215,2,8,3.05,28,7,9,7,0
ACMS  ,50,BIOL  ,180,2,8,3.45,76,7,9,7,0
ACMS  ,50,CHEM  ,152,2,8,3.45,7,7,9,7,0
ACMS  ,50,CLAS  ,205,2,8,4,102,7,9,7,0
ACMS  ,50,CSE   ,154,2,8,3.6,73,7,9,7,0
ACMS  ,50,DANCE ,230,2,8,3.75,104,7,9,7,0
ACMS  ,50,ECON  ,201,2,8,3.8,30,7,9,7,0
ACMS  ,50,ENGL  ,111,2,8,3.55,20,7,9,7,0
ACMS  ,50,ENGL  ,198,2,8,3.65,103,7,9,7,0
ACMS  ,50,LING  ,100,2,8,3.65,61,7,9,7,0
ACMS  ,70,CSE   ,142,39,41,3.5,21,8,10,1,0
ACMS  ,70,MATH  ,126,36,41,4,0,8,10,2,0
ACMS  ,70,MATH  ,307,36,41,4,2,8,10,2,0
ACMS  ,70,ENGL  ,131,34,41,3.7,14,8,10,3,0
ACMS  ,70,ECON  ,200,32,41,3.7,31,8,10,4,0
ACMS  ,70,ECON  ,201,31,41,3.9,30,8,10,5,0
ACMS  ,70,MATH  ,308,31,41,3.9,4,8,10,5,0
ACMS  ,70,ECON  ,300,27,41,3.7,92,8,10,6,0
ACMS  ,70,MATH  ,125,26,41,4,13,8,10,7,0
ACMS  ,70,CSE   ,143,25,41,3.3,41,8,10,8,0
