major_abbr,pathway,College,iqr_min,q1,median,q3,iqr_max
M E   ,60,College of Engineering,3.083333,3.36923,3.53992,3.68,3.913636
KOREAN,0,College of Arts and Sciences,2.590909,2.961904,3.237412,3.614285,3.9
INDIV ,0,Undergraduate Academic Affairs,2.408333,3.03125,3.442857,3.642857,4.0
MUSIC ,0,College of Arts and Sciences,2.880645,3.403571,3.5522910000000003,3.766666,3.94
SWED  ,0,College of Arts and Sciences,3.206666,3.214285,3.4,3.444444,3.444444
SPAN  ,0,College of Arts and Sciences,2.6,3.170833,3.4324555,3.633333,3.941666
MUSIC ,68,College of Arts and Sciences,3.802941,3.802941,3.802941,3.802941,3.802941
INFO  ,20,The Information School,3.026315,3.3,3.4742105,3.566666,3.816666
T SUD ,0,Urban Studies,2.2,2.833333,3.266666,3.616666,3.984615
CL ST ,0,College of Arts and Sciences,2.396153,2.6,3.293333,3.438095,3.825
TPPE  ,20,Interdisciplinary Arts and Sciences,2.3,2.466666,2.9642855,3.418181,4.0
DESIGN,5,College of Arts and Sciences,2.869565,3.217857,3.4138885,3.50909,3.752941
MUSAP ,70,College of Arts and Sciences,3.125806,3.328571,3.55,3.890909,4.0
TAM   ,0,Interdisciplinary Arts and Sciences,1.6,2.833333,3.4,3.8,4.0
T ACCT,0,Milgard School of Business,2.025,3.022222,3.4166665,3.7,4.0
TEST  ,0,Interdisciplinary Arts and Sciences,1.5875,2.61,3.18,3.505882,3.8
TPPE  ,10,Interdisciplinary Arts and Sciences,2.533333,2.847058,3.158333,3.4,3.790909
MUSIC ,58,College of Arts and Sciences,3.3,3.3,3.7,3.822222,3.9
TWRT  ,0,Interdisciplinary Arts and Sciences,2.283333,3.15,3.4216664999999997,3.733333,4.0
SISJE ,0,College of Arts and Sciences,2.477777,2.744444,3.025,3.6,3.66923
DXARTS,0,College of Arts and Sciences,3.15,3.15,3.325,3.5,3.5
ART   ,95,College of Arts and Sciences,2.646666,3.0125,3.340058,3.681818,3.975
GWSS  ,0,College of Arts and Sciences,2.233333,2.827272,3.227777,3.525,3.933333
B CHEM,10,Science Technology Engineering and Mathematics,3.125,3.311111,3.436363,3.553846,3.63
ESS   ,20,College of the Environment,2.128571,2.688235,2.933333,3.414285,3.925
ACMS  ,40,College of Arts and Sciences,3.564705,3.564705,3.564705,3.564705,3.564705
ITAL  ,0,College of Arts and Sciences,2.842307,3.063636,3.3,3.424324,3.822727
PHIL  ,0,College of Arts and Sciences,2.125,2.855,3.2422614999999997,3.566666,3.985714
ECFS O,10,College of Education,3.65,3.7,3.825,3.95,3.95
MUSIC ,60,College of Arts and Sciences,3.433333,3.433333,3.633333,3.766666,3.766666
MUSIC ,66,College of Arts and Sciences,3.983333,3.983333,3.983333,3.983333,3.983333
T HIST,10,Interdisciplinary Arts and Sciences,2.255,2.783333,3.2,3.6,3.981818
RELIG ,0,College of Arts and Sciences,2.50303,3.025,3.282352,3.533333,3.911111
LING  ,0,College of Arts and Sciences,2.166666,3.060869,3.4,3.7,3.988888
ECFS  ,10,College of Education,2.85,3.396153,3.611111,3.8,3.971428
HIST  ,50,College of Arts and Sciences,3.3,3.3,3.3,3.3,3.3
B LEPP,0,Interdisciplinary Arts and Sciences,2.488888,2.982352,3.3,3.605882,4.0
TCJUSO,0,Social Work,2.3,2.925,3.083333,3.533333,4.0
MS E  ,70,College of Engineering,3.048,3.273684,3.3958585,3.566666,3.855882
NEAR E,40,College of Arts and Sciences,3.333333,3.333333,3.533333,3.733333,3.733333
B CHEM,0,Science Technology Engineering and Mathematics,3.1,3.18,3.29,3.59,4.0
SOC   ,20,College of Arts and Sciences,2.551724,2.551724,2.573809,2.955172,2.955172
ECFS  ,0,College of Education,2.183333,3.0,3.263333,3.557142,4.0
CEP   ,0,Built Environments,2.466666,3.114285,3.3480765000000003,3.60909,3.977777
T MKTG,0,Milgard School of Business,2.42,2.866666,3.1479165,3.5,4.0
MATH  ,0,College of Arts and Sciences,2.175,2.915,3.18,3.433333,4.0
CHIN  ,0,College of Arts and Sciences,2.52,3.157142,3.3549105,3.73,3.96923
INTSCI,0,College of Arts and Sciences,1.990909,1.990909,3.035483,3.157142,3.157142
ARCHST,50,Built Environments,3.037931,3.32647,3.478787,3.558064,3.823333
RUSS  ,0,College of Arts and Sciences,2.5875,3.22,3.3965579999999997,3.716666,3.892857
PR O  ,0,School of Medicine,3.28,3.28,3.28,3.28,3.28
C LIT ,0,College of Arts and Sciences,2.211111,2.852631,3.140909,3.527272,3.866666
CSS   ,0,Science Technology Engineering and Mathematics,2.381818,3.088888,3.316666,3.566666,4.0
POL S ,0,College of Arts and Sciences,2.015384,2.905,3.2375,3.5,4.0
CMP E ,0,College of Engineering,3.318181,3.622222,3.75625,3.866666,4.0
BENSCI,0,Interdisciplinary Arts and Sciences,2.808333,3.211111,3.333333,3.636363,3.788888
TAMC  ,0,Interdisciplinary Arts and Sciences,1.8,2.73125,3.08,3.4,4.0
ARCH  ,0,Built Environments,2.873684,3.272222,3.4240405000000003,3.611111,4.0
ATM S ,2,College of the Environment,2.2,2.733333,3.1345755000000004,3.466666,3.85
ATM S ,3,College of the Environment,2.994736,2.994736,2.994736,2.994736,2.994736
ATM S ,0,College of the Environment,2.2,2.79,3.0,3.492,3.95
ATM S ,1,College of the Environment,2.2,2.870588,3.084615,3.358823,3.866666
POL S ,80,College of Arts and Sciences,2.625,3.151724,3.3628285,3.514285,3.955555
ASTR  ,0,College of Arts and Sciences,2.5,2.966666,3.1979165,3.45,3.967441
CHEM  ,10,College of Arts and Sciences,2.628571,3.166666,3.38125,3.69,4.0
TENSCI,0,Interdisciplinary Arts and Sciences,2.177777,2.866666,3.125,3.5,4.0
SOC   ,0,College of Arts and Sciences,2.0,2.672727,2.944444,3.21875,3.966666
ESS   ,50,College of the Environment,1.942857,2.756,3.094444,3.433333,3.925
DANCE ,0,College of Arts and Sciences,3.264705,3.542857,3.6900000000000004,3.7625,3.966666
TCSCI ,0,Institute of Technology,1.828571,2.8625,3.2,3.633333,4.0
ESS   ,30,College of the Environment,2.177777,2.719047,2.9625,3.31875,3.781818
CLAS  ,0,College of Arts and Sciences,2.763636,3.341176,3.6464285,3.9,4.0
SISLA ,0,College of Arts and Sciences,2.255555,2.972222,3.2766659999999996,3.68,4.0
SPHSCX,0,College of Arts and Sciences,2.9,3.542857,3.6916665,4.0,4.0
NEAR E,50,College of Arts and Sciences,2.958333,2.958333,3.328571,3.4,3.4
DANCE ,20,College of Arts and Sciences,2.578947,3.285,3.505357,3.769565,4.0
TCJUS ,0,Social Work,2.033333,2.65,3.0375,3.335714,3.966666
PH    ,0,School of Public Health,2.6,3.164705,3.338888,3.56,3.977777
